feature,chi2_stat,anova_f,mw_u,score
PREDICT_original_tf_Gabor_max_F0.05_A2.36,0.6526241277166218,0.7116209550511907,0.20932752394179566,305.6666666666667
PREDICT_original_phasef_phasesym_range_WL3_N5,0.992124634536679,0.9799409012757412,0.4580671542191628,305.5
PREDICT_original_phasef_phasesym_max_WL3_N5,0.992124634536679,0.9799409012757412,0.4580671542191628,305.5
PREDICT_original_tf_LBP_min_R15_P36,3.1912858597088083,0.4442102374384308,0.4517059414185187,304.8333333333333
PREDICT_original_tf_GLCM_contrastd3.0A1.57,0.02119824832279423,2.1561226271456477,0.13564283423574655,304.5
PREDICT_original_of_theta_x,1.5706891990847345,1.1752630723581647,0.6163033772960509,304.3333333333333
PREDICT_original_tf_LBP_min_R8_P24,4.77562231168857,0.4373221733655368,0.5873495375102951,303.8333333333333
PREDICT_original_tf_GLCMMS_contrastd1.0A2.36mean,0.021198248322795196,2.1561226271456504,0.13564283423574655,303.8333333333333
PREDICT_original_tf_GLCM_correlationd3.0A2.36,3.6632778272718247,0.7669779163909022,0.6378957679411839,302.0
PREDICT_original_sf_convexity_std_2.5D,0.08787195314266656,0.43018046996299125,0.014726435584294512,301.3333333333333
PREDICT_original_phasef_monogenic_max_WL3_N5,0.49980151220220664,0.819218490103894,0.17477441801264182,301.0
PREDICT_original_tf_LBP_energy_R3_P12,0.3268067561635791,0.0029243865172599083,0.00474494923265799,300.6666666666667
PREDICT_original_tf_Gabor_peak_F0.05_A0.79,3.3933897406604494,0.9417753952837568,0.7627327622403376,300.3333333333333
PREDICT_original_sf_evar_std_2.5D,3.478722505871133,0.41857527135153816,0.390764829113328,299.5
PREDICT_original_tf_Gabor_kurtosis_F0.5_A1.57,1.353209712472474,0.5247297393728168,0.20185910165345233,299.0
PREDICT_original_tf_LBP_skewness_R15_P36,1.586016855623738,0.22778289936432053,0.13564283423574655,298.1666666666667
PREDICT_original_tf_Gabor_max_F0.2_A0.79,0.4111383553387321,0.8335205124239861,0.13393473316692087,295.0
PREDICT_original_tf_GLCM_correlationd3.0A1.57,3.628960259563944,0.8438261731327896,0.562849712750913,291.6666666666667
PREDICT_original_tf_Gabor_range_F0.2_A2.36,0.22729544535396956,0.5922203188661671,0.03580152998683254,291.0
PREDICT_original_tf_GLCMMS_contrastd1.0A2.36std,0.04974066836399786,2.3990124894226184,0.14005025480263625,290.8333333333333
PREDICT_original_phasef_monogenic_range_WL3_N5,0.4523679701380639,1.1124468010990962,0.1663148322198209,290.6666666666667
PREDICT_original_tf_GLCM_contrastd3.0A2.36,0.04974066836399786,2.3990124894226215,0.14005025480263625,290.5
